"","fips","SCC","Pollutant","Emissions","type","year"
"196520","01107","2810015000","PM25-PRI",1956.597,"NONPOINT",1999
"3009445","27137","30302312","PM25-PRI",1956.789,"POINT",1999
"5259478","56025","2296000000","PM25-PRI",1958.22,"NONPOINT",2002
"10951586","56025","2296000000","PM25-PRI",1958.22,"NONPOINT",2005
"366953","13067","2294000000","PM25-PRI",1959.03,"NONPOINT",1999
"16759491","13095","2810015000","PM25-PRI",1961.15,"NONPOINT",2008
"4653124","54029","30300913","PM25-PRI",1962.86,"POINT",2002
"16521401","53033","2104008310","PM25-PRI",1964.59,"NONPOINT",2008
"16259401","56023","2296000000","PM25-PRI",1967.77,"NONPOINT",2008
"4507065","24005","10100203","PM25-PRI",1967.81,"POINT",2002
"1555799","06071","2104008001","PM25-PRI",1968.26,"NONPOINT",1999
"16256521","55079","2104008610","PM25-PRI",1970.37,"NONPOINT",2008
"1574472","06111","2810001000","PM25-PRI",1970.805,"NONPOINT",1999
"10799608","06043","2810090000","PM25-PRI",1971.97,"NONPOINT",2005
"11052398","22051","2810090000","PM25-PRI",1972.04,"NONPOINT",2005
"275160","12079","2810001000","PM25-PRI",1973.57,"NONPOINT",1999
"10387321","42007","10100202","PM25-PRI",1975.78,"POINT",2005
"4259607","56021","2296000000","PM25-PRI",1976.59,"NONPOINT",1999
"786165","17135","10100203","PM25-PRI",1976.972,"POINT",1999
"1632313","16031","2810001000","PM25-PRI",1984.293,"NONPOINT",1999
"2762092","47157","2294000000","PM25-PRI",1986.49,"NONPOINT",1999
"3413371","40113","2296000000","PM25-PRI",1987.85,"NONPOINT",1999
"4730145","12077","2810015000","PM25-PRI",1991.23,"NONPOINT",2002
"245897","12037","2810001000","PM25-PRI",1991.42,"NONPOINT",1999
"295578","12099","2294000000","PM25-PRI",1992.54,"NONPOINT",1999
"414404","13135","2610000500","PM25-PRI",1993.61,"NONPOINT",1999
"3435392","40143","2294000000","PM25-PRI",1994.63,"NONPOINT",1999
"271866","12073","2810001000","PM25-PRI",1994.91,"NONPOINT",1999
"10707692","12091","2810090000","PM25-PRI",1995.51,"NONPOINT",2005
"3763810","48491","2296000000","PM25-PRI",1997.9,"NONPOINT",1999
"3391122","40079","2296000000","PM25-PRI",1998.51,"NONPOINT",1999
"4664779","56031","10100222","PM25-PRI",2001.71,"POINT",2002
"17315841","06019","2801500000","PM25-PRI",2001.74,"NONPOINT",2008
"10292748","48157","10100222","PM25-PRI",2002.43,"POINT",2005
"10845623","30061","2810001000","PM25-PRI",2003.49,"NONPOINT",2005
"3466731","48037","2296000000","PM25-PRI",2004.3,"NONPOINT",1999
"10354901","17143","10100202","PM25-PRI",2004.98,"POINT",2005
"1501845","04001","2810001000","PM25-PRI",2005.48,"NONPOINT",1999
"4591207","42007","10100202","PM25-PRI",2005.97,"POINT",2002
"10387875","18097","10100212","PM25-PRI",2006.93,"POINT",2005
"3307741","35009","2296000000","PM25-PRI",2007.05,"NONPOINT",1999
"2476952","37071","10100212","PM25-PRI",2007.293,"POINT",1999
"10929052","48067","2810090000","PM25-PRI",2007.95,"NONPOINT",2005
"4653256","54033","10100202","PM25-PRI",2012.03,"POINT",2002
"10297108","33013","10100203","PM25-PRI",2014.14,"POINT",2005
"4717981","08103","2810001000","PM25-PRI",2015.72,"NONPOINT",2002
"1089466","22009","2280002100","PM25-PRI",2016.12,"NON-ROAD",1999
"4363480","53025","2801000003","PM25-PRI",2018.7,"NONPOINT",1999
"4264866","56031","10100222","PM25-PRI",2021.845,"POINT",1999
"5258331","56033","2296000000","PM25-PRI",2023.01,"NONPOINT",2002
"10532048","56033","2296000000","PM25-PRI",2023.01,"NONPOINT",2005
"27200910","26017","30500617","PM25-PRI",2025.42,"POINT",2008
"16786591","48113","2311020000","PM25-PRI",2026.47,"NONPOINT",2008
"10847330","22011","2810090000","PM25-PRI",2026.6,"NONPOINT",2005
"4620243","48157","10100222","PM25-PRI",2027.89,"POINT",2002
"4608848","47085","10100202","PM25-PRI",2030.2,"POINT",2002
"17205501","17105","2801000003","PM25-PRI",2033.37,"NONPOINT",2008
"18949110","37035","10100202","PM25-PRI",2034,"POINT",2008
"1115429","22047","2801500000","PM25-PRI",2035.27,"NONPOINT",1999
"4307236","41017","2104008001","PM25-PRI",2036.958,"NONPOINT",1999
"3736796","48453","2294000000","PM25-PRI",2038.79,"NONPOINT",1999
"3377397","40053","2801000003","PM25-PRI",2039.03,"NONPOINT",1999
"770226","17113","2801000003","PM25-PRI",2039.46,"NONPOINT",1999
"1649757","16057","2801500261","PM25-PRI",2040.437,"NONPOINT",1999
"1637222","16039","2810001000","PM25-PRI",2041.424,"NONPOINT",1999
"1780349","36029","2294000000","PM25-PRI",2041.56,"NONPOINT",1999
"10293156","39093","10100202","PM25-PRI",2042.53,"POINT",2005
"218420","12001","2810001000","PM25-PRI",2042.74,"NONPOINT",1999
"17385221","13313","2102008000","PM25-PRI",2043.68,"NONPOINT",2008
"4799379","18039","2102002000","PM25-PRI",2044.33,"NONPOINT",2002
"10530641","18039","2102002000","PM25-PRI",2044.33,"NONPOINT",2005
"8653933","22109","2280003000","PM25-PRI",2045.07,"NON-ROAD",2002
"16433021","56029","2296000000","PM25-PRI",2045.64,"NONPOINT",2008
"3577929","48203","2296000000","PM25-PRI",2046.99,"NONPOINT",1999
"10905240","40089","2810090000","PM25-PRI",2049.96,"NONPOINT",2005
"1679000","33013","10100203","PM25-PRI",2053.727,"POINT",1999
"1611021","16001","2296000000","PM25-PRI",2054.97,"NONPOINT",1999
"10418353","04017","10100212","PM25-PRI",2056.17,"POINT",2005
"10485049","34017","10100202","PM25-PRI",2056.83,"POINT",2005
"2650414","47001","10100212","PM25-PRI",2056.875,"POINT",1999
"2587635","45015","10100212","PM25-PRI",2057.699,"POINT",1999
"4653717","54051","10100203","PM25-PRI",2058.2,"POINT",2002
"5171814","48367","2296000000","PM25-PRI",2058.91,"NONPOINT",2002
"10780858","48367","2296000000","PM25-PRI",2058.91,"NONPOINT",2005
"10724604","01025","2810090000","PM25-PRI",2059.05,"NONPOINT",2005
"1657813","16069","2801500261","PM25-PRI",2060.056,"NONPOINT",1999
"10456595","53041","10100226","PM25-PRI",2061.1,"POINT",2005
"3641506","48305","2801000003","PM25-PRI",2063.78,"NONPOINT",1999
"3462036","48029","2311030000","PM25-PRI",2067.46,"NONPOINT",1999
